0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:45 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440285215 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:46 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:48 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:49 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:51 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:44:52 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:02 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:02 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:02 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440302908 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:02 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440302909 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:28 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:29 +0900] "GET /Cinema/movie/detail?id=5 HTTP/1.1" 200 12981
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:29 +0900] "GET /Cinema/js/movieDetail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:29 +0900] "POST /Cinema/mcomment/list?id=5 HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:31 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:31 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:31 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440331284 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:31 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440331285 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:33 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 10980
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:40 +0900] "GET /Cinema/userinfo/dreserve?id=3 HTTP/1.1" 200 11767
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:45:40 +0900] "GET /Cinema/myreserve/detail?id=3&page=0&_=1663440340112 HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:06 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:06 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:06 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440366500 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:06 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440366501 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:08 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 10980
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:35 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 11016
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:37 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:39 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:39 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 200 232311
